"","HR","upper","lower","p value","model"
"PIP5K1A",1.12017076811752,1.21504386806588,1.03270555304506,0.00622263832149879,1
"PITHD1",1.17171609281998,1.3130617331275,1.0455857234551,0.00638954362795992,1
"PJA2",1.12030286168777,1.21248282393016,1.03513095372154,0.0048652848872849,1
"PKIA",1.10924116050716,1.19658385844028,1.02827390114311,0.00734133319211871,1
"PLA2G1B",1.12635000848766,1.22327091925941,1.03710823305456,0.00472653548428834,1
"PLA2R1",1.12081349878463,1.2213152223961,1.02858203682524,0.00923670129078466,1
"PLAT",1.12944745665255,1.2234717994183,1.04264892574183,0.0028484511679124,1
"PLK2",1.14136618195762,1.23834636538452,1.05198093015924,0.00148362883141057,1
"PLXDC1",1.14473283486325,1.24445676332181,1.05300023418747,0.00151514229084622,1
"PMEPA1",1.19876376633724,1.29996853866409,1.10543795849076,1.16495567660921e-05,1
"PODN",1.14802288682996,1.25900662513031,1.04682256818862,0.00336955320874725,1
"POLR3D",1.12764628689135,1.22186550632788,1.04069240170418,0.00334451142841428,1
"POPDC3",1.11192804903657,1.20180033821828,1.02877653376872,0.00746479509840863,1
"POSTN",1.11524281500615,1.20870663659669,1.02900612833967,0.0078998018376201,1
"PPEF1",1.18242987016639,1.27555356504449,1.09610480984618,1.47488487582115e-05,1
"PPFIBP1",1.14631269793906,1.24587627678019,1.05470569264894,0.00131205770408065,1
"PPM1F",1.14387237805191,1.23696185981784,1.05778848950348,0.000758971874599793,1
"PPP1R13L",1.18304354534493,1.28376945119543,1.09022070035941,5.53173587664872e-05,1
"PPP1R8",1.13257394566995,1.22667882551881,1.04568833807651,0.00223569610007288,1
"PPP3CA",1.12615125346021,1.22447643539673,1.03572156148444,0.00540630189545121,1
"PRELP",1.12217173676298,1.21451864507206,1.03684650038034,0.00428010753211833,1
"PREPL",1.1622172209853,1.26140287350756,1.07083065777296,0.000320934799190528,1
"PRKAB2",1.16153926809023,1.25872630432076,1.07185610301807,0.000259661920232999,1
"PRKCDBP",1.14159982673572,1.23854812472649,1.05224023062555,0.00145045763200108,1
"PRKD1",1.13844277613486,1.24184772971951,1.04364804437528,0.00346564214420513,1
"PRKG1",1.21754889587381,1.37476354763015,1.07831293344878,0.00148902077087609,2
"PRRX1",1.18036304479668,1.27624333566605,1.0916859493684,3.16216304985095e-05,1
"PTK7",1.14465752418589,1.23879303280087,1.0576753444544,0.000806474689772131,1
"PTPN1",1.12817331276637,1.22280492724818,1.04086514150914,0.00334026150876342,1
"PTPRD",1.12160943540073,1.21248969724599,1.03754096091483,0.00388855629700252,1
"PTRF",1.16448928265484,1.26344043498079,1.07328786690178,0.000252531129324634,1
"PVALB",1.10489825342078,1.18866827437358,1.02703182774491,0.0074659441771647,1
"PXN",1.1767458641086,1.28135104211366,1.08068030007804,0.000179908444864478,1
"R3HDM2",1.13788437748399,1.24489677025148,1.04007086166717,0.00485203614532196,1
"RAB35",1.11075276364183,1.20203643156321,1.02640125502143,0.00914345071360718,1
"RABL3",1.14544505018682,1.24876300199506,1.05067523693554,0.00205713150305387,1
"RAI14",1.17944515727853,1.28083288736989,1.08608304232749,8.76087130469627e-05,1
"RAMP2",1.12652806135887,1.22273080780817,1.03789441218372,0.00437799477244152,1
"RARB",1.16041337091226,1.25650466166592,1.07167066901816,0.000247120346860867,1
"RARRES2",1.1529782027572,1.25165666704155,1.06207937930402,0.000680166058794835,1
"RASA1",1.21847908293106,1.32537643885682,1.12020346221117,4.11362023093758e-06,1
"RASL12",1.15418885136958,1.24581616628955,1.06930054423151,0.00023409691403703,1
"RB1",1.14679050016796,1.24476112898399,1.05653078382109,0.00105763473755348,1
"RBBP4P4",1.14315125835857,1.25465685559052,1.04155554059577,0.00484205880430483,1
"RBM39",1.11674597396042,1.21246820429798,1.02858084520154,0.00849925396906291,1
"RBM45",1.1565049871216,1.27498861812023,1.04903194132749,0.00347938204940596,1
"RCBTB1",1.13987000736872,1.23587114668319,1.05132613313759,0.00150792612777903,1
"RCN3",1.15431251464587,1.25320195643241,1.06322638153329,0.000621992471689653,1
"RCOR3",1.17316679900861,1.27114731657701,1.08273865691847,9.52643861867917e-05,1
"RECK",1.15320005644158,1.2499229743407,1.06396185803236,0.000522947530656129,1
"REM1",1.15787741545408,1.26423570861509,1.06046688926962,0.00107793965122013,1
