"","HR","upper","lower","p value","model"
"CENPM",0.821413337372,0.896040622042,0.753001431201833,9.24815734893175e-06,1
"CETN2",0.8750448257122,0.94871903070694,0.807091902051473,0.00121081219186363,1
"CFB",0.837036253924755,0.90427826350051,0.774794351101852,6.41690866242433e-06,1
"CFLAR",0.882268173687223,0.954794955368629,0.815250568642628,0.0018860147076111,1
"CHAF1B",0.859003224011106,0.932329172176412,0.7914442247248,0.000276330500133943,1
"CHCHD4",0.857222995066203,0.946550509581485,0.776325463704177,0.00231845577438686,1
"CIB1",0.856293915887953,0.93213527301474,0.786623241941334,0.000339620436787286,1
"CLN6",0.876112467557517,0.95416933857537,0.804441124628625,0.00238680633228805,1
"CLNS1A",0.863819735203021,0.938068303648114,0.795447977534613,0.000502202024924645,1
"CLPB",0.890562070661123,0.971779720585061,0.816132282759245,0.00924603372152627,1
"CLSPN",0.869391896625246,0.966624740282618,0.781939710850617,0.00966705688118482,1
"CMPK1",0.867328665800452,0.942660047976248,0.798017287498479,0.000809445157415278,1
"CMTR1",0.886899536838417,0.971432152753142,0.809722826462884,0.00976765948073839,1
"CNDP2",0.895284851520637,0.969046480904671,0.827137790763185,0.00617453798185555,1
"COA4",0.831605645373104,0.90940029907189,0.760465935762517,5.31305837506699e-05,1
"COMMD4",0.872817480619994,0.945801003091616,0.805465792471823,0.000900312482289084,1
"CORO1A",0.867096133604991,0.938986112687516,0.800710143370282,0.000449652442278514,1
"COX7B",0.874042398511312,0.947600251983065,0.806194503216596,0.00109281026363138,1
"CP",0.858598613296453,0.92704121823641,0.795209063257203,9.78242836451235e-05,1
"CPT2",0.897946856072485,0.971218647549248,0.830202919152223,0.00715242296665642,1
"CR1L",0.852072455683834,0.9575628876799,0.75820343402634,0.00718529938258542,1
"CSMD1",0.84729713067422,0.94589711849621,0.758975171411988,0.00317488469382076,1
"CTPS2",0.841027814170128,0.957885633530313,0.738426132983024,0.00910335027589234,2
"CTSC",0.823281694509854,0.890521089855393,0.761119255047715,1.20616590347882e-06,1
"CTSS",0.866268409411337,0.937160218321753,0.800739235909828,0.000347416759186267,1
"CXADR",0.892275518760012,0.967096337491978,0.823243321800972,0.00553165583611868,1
"CXCL10",0.802456072422193,0.867149245087935,0.742589296842382,2.64711457728433e-08,1
"CXCL11",0.786022394993911,0.85418936502726,0.723295361342091,1.39428447895482e-08,1
"CXCL13",0.834932455442031,0.90743321756087,0.76822425238549,2.1732428287291e-05,1
"CXCL9",0.836781467150702,0.907872941399758,0.77125684865914,1.84305286134302e-05,1
"CXCR4",0.86628008582906,0.938616658399252,0.799518291507665,0.000451292098420196,1
"CXorf21",0.895708997719847,0.971011008085129,0.82624666653208,0.00749009297024073,1
"CXorf38",0.812752544280759,0.917866665115262,0.719676096039392,0.000834625037028195,1
"CYBA",0.847777969384803,0.91625463894666,0.784418932056354,3.08850345288908e-05,1
"CYBB",0.895662036951972,0.973971525012294,0.823648806803495,0.00997608802984841,1
"CYC1",0.883182555934357,0.958863279312808,0.813475126157462,0.00306278549464816,1
"CYP2J2",0.874585072727358,0.948754267207527,0.806214080795493,0.00125268848875605,1
"CYP4B1",0.892927280183804,0.971047159327784,0.821092075742641,0.00813165473952318,1
"CYTIP",0.855669635073197,0.929190520560036,0.787965985646312,0.000210378055136167,1
"DAD1",0.867507217104644,0.937829763740463,0.802457760273123,0.000351595253705524,1
"DAW1",0.82992653621874,0.949014777461232,0.725782223710603,0.00643230273305359,1
"DCAF10",0.896374778035907,0.971305295639101,0.827224711227629,0.00756826036466284,1
"DCAF11",0.868086514221133,0.942646092872124,0.799424303427124,0.000765782790576029,1
"DCK",0.855520374967312,0.9579544598437,0.76403956833567,0.00684245590519252,2
"DCTN5",0.893605586821994,0.968225912930816,0.824736184122908,0.00597649081787711,1
"DDT",0.778290623970878,0.88361525485345,0.685520414042016,0.000108525489307144,1
"DDX58",0.889965646594382,0.965779742347463,0.820102987657409,0.00519423775257684,1
"DDX60",0.869260243900205,0.939006677128287,0.804694354183183,0.000373517433341186,1
"DEK",0.86356612250168,0.943330777350736,0.790546079739867,0.00113713602540662,1
"DENND2D",0.85764130287194,0.930849090716593,0.7901910328189,0.00023822934884407,1
"DGCR2",0.882905630641735,0.955598862873967,0.815742235475735,0.00203525794744185,1
"DGCR8",0.890603063681432,0.964323478370328,0.822518412990616,0.00429991452031416,1
"DHCR24",0.859405270099233,0.932277866885261,0.792228845614367,0.000263640080297643,1
"DHCR7",0.886790442180731,0.966334962507118,0.813793683199478,0.00611959722744928,1
"DHH",0.863399450884102,0.956857559718249,0.779069574374762,0.00509497055135729,1
"DKC1",0.872354165966079,0.948783046969938,0.802081986296795,0.00143797435211159,1
"DNAJA1",0.831046603903187,0.900052390220744,0.767331396886392,5.43241462068829e-06,1
"DNMT1",0.884455206515496,0.95832998808793,0.816275210059058,0.00270088488699885,1
"DONSON",0.890441848427012,0.967587086042689,0.819447362276115,0.00619605017860863,1
"DPP3",0.885872144495015,0.958737868198625,0.818544340870463,0.00265766492056493,1
"DRAP1",0.863746578366581,0.935028783589273,0.797898593855154,0.000294186570206226,1
"DUSP22",0.889026257599779,0.963845871045919,0.820014600305545,0.00432883170616796,1
"EBNA1BP2",0.85816251446065,0.933096949398254,0.789245856714407,0.000342062969635235,1
"EEF1E1",0.882486247749725,0.968149225714939,0.804402830454457,0.00817473506527373,1
"EFTUD1",0.869323238811742,0.941831640837707,0.802397011068733,0.000612207648455408,1
"EHBP1L1",0.867201165820638,0.949747266561567,0.791829456612522,0.00213079129681734,1
"EIF2B3",0.860284989464306,0.932610839113082,0.793568155181888,0.000258292385607438,1
"ELOVL1",0.861864375576555,0.937444193197519,0.792378050104851,0.00052794764876286,1
"EMC9",0.800895424178875,0.874055784811629,0.73385874404904,6.41884491950413e-07,1
"ESRP1",0.876159048983818,0.947776202545471,0.809953528116148,0.000973945106139271,1
"EWSR1",0.890200288914357,0.961749057315051,0.823974350019676,0.00319037903475732,1
"EXOC3L4",0.841197246264727,0.936639690102102,0.755480271230257,0.00161220916715649,1
"EXOSC4",0.855973093490636,0.927992812189522,0.789542685197321,0.000161260704732177,1
"FADD",0.895799006665297,0.972723261430317,0.824958024713608,0.00884696522125137,1
"FAH",0.869249617648494,0.941457965708503,0.802579536531324,0.000578222014004185,1
"FAM167A",0.863849715365353,0.962674938268863,0.775169583285015,0.00809031893335546,1
"FAM50A",0.892103490644463,0.968591936043569,0.821655238294526,0.00652228872781473,1
"FAM58A",0.876709162409828,0.965454767479996,0.796121145540118,0.0074826501702711,1
"FANCI",0.882066276680476,0.955181541175976,0.814547688493927,0.00201154138045545,1
"FBP1",0.873926749589299,0.94663188971568,0.806805656924475,0.000949454120567136,1
"FBXO6",0.850228294184457,0.933661222117724,0.774251018578411,0.000680865563453205,1
"FCER1G",0.858476825532425,0.927863861637814,0.794278654926111,0.000119118719148798,1
"FEN1",0.788712288622589,0.857679273690248,0.725291018806807,2.86532229088726e-08,1
"FFAR2",0.889794453102228,0.969377014532872,0.816745349747144,0.00754979805548563,1
"FKBP3",0.832456808680739,0.945227797117051,0.733140032944995,0.00466970255693953,2
"FOLR1",0.888000325496914,0.959887825995514,0.821496592338604,0.00278318588734313,1
"FOXJ1",0.856235410171991,0.925493739567477,0.792159953426616,9.19128130541919e-05,1
"FRYL",0.877761461618976,0.958489907568252,0.803832338160137,0.0036796166013593,1
"FXN",0.872601322678993,0.9462807453171,0.804658735908202,0.000984103380078164,1
"GALK1",0.888176494601927,0.959237346695398,0.822379871135131,0.00253009024615773,1
"GALNT6",0.88393415622263,0.96275440880614,0.81156688080599,0.00464129258608564,1
"GAREM",0.862201295563414,0.941459594580442,0.789615484669333,0.000951826994885715,1
"GBP1",0.837587799125698,0.90980538827698,0.771102622916815,2.66866547579892e-05,1
"GBP2",0.873271337155858,0.942903273440127,0.808781610775058,0.000536252684183461,1
"GBP4",0.800260138296837,0.883163644207815,0.725138872220353,9.40790679149362e-06,1
"GBP5",0.811376457150018,0.897348567295309,0.733641061245116,4.74579370044279e-05,1
"GCH1",0.868054551598727,0.939237730949401,0.802266220490945,0.000433391593812166,1
"GCLM",0.876000956465346,0.952184189359502,0.805913062098193,0.00186110438091904,1
"GCNT1",0.875212986891246,0.950847138593496,0.805595075519888,0.0016227092887866,1
"GINS2",0.885255002395174,0.965633710824895,0.811566964243846,0.00598464510687725,1
"GJB1",0.871307190111802,0.94313453948832,0.804950076319334,0.000653093625808298,1
"GMIP",0.855104941346396,0.940336979262459,0.777598325749705,0.00124247901034277,1
"GMNN",0.870436234992549,0.944342235791128,0.802314256921138,0.000846124621921993,1
"GMPR",0.783023567107008,0.849857162130212,0.721445831094899,4.82798709721534e-09,1
"GNL3L",0.887933026445276,0.966817588588286,0.815484811983509,0.00619943863585053,1
"GNLY",0.890307596802387,0.967231335637633,0.819501589453261,0.00599684385383563,1
"GNPNAT1",0.8748522189132,0.960960837667949,0.796459517325112,0.00524894979652105,1
"GOLGA2P7",0.852419207632238,0.946350210458141,0.767811427007139,0.00275473163712752,1
"GPBAR1",0.851307790521446,0.956266683391549,0.757869082745994,0.00665107095497311,1
"GPBP1L1",0.874186775897159,0.952373242221831,0.802419141229368,0.00209470518493413,1
"GPR155",0.842197425806917,0.928431967457565,0.763972513762261,0.000554426113331676,1
"GPR84",0.851990634761524,0.935123679469744,0.776248166587926,0.000746176799409376,1
"GRB2",0.868531312365949,0.93826786382839,0.803977914667327,0.000347528317500005,1
"GRHPR",0.887717830268139,0.964633274996931,0.81693527125993,0.00496527392974967,1
"GRIN3A",0.86943132637711,0.961675228520917,0.786035460691311,0.00653752950647227,1
"GRSF1",0.871591900652902,0.944440868890182,0.80436210069608,0.000791727577365967,1
"GSTP1",0.861843304204678,0.932722317227712,0.796350497123463,0.000226773496320833,1
"GUF1",0.896295109861623,0.973642184808053,0.825092561206388,0.00952953324657986,1
"GUSB",0.901954949775791,0.975495891968394,0.833958131575,0.00987050213255619,1
"GZMA",0.887342870798872,0.959105755859066,0.820949478769767,0.00259318497760993,1
"GZMB",0.829399866955122,0.899382311659357,0.764862873538166,6.01646835962979e-06,1
"H2AFV",0.858660475025523,0.927032119771118,0.795331462250837,9.68921378863823e-05,1
"H2AFX",0.875139702641817,0.94721653210319,0.808547436814135,0.000956970060068776,1
"H2AFY",0.883279108225867,0.956141484002901,0.815969180379078,0.00214814570923104,1
"HAUS4",0.864048342734821,0.941297510200353,0.793138758461056,0.000823912240040543,1
"HCG27",0.855529401739962,0.960543943786864,0.761995910729458,0.00825573214379313,1
"HCK",0.892694595667345,0.967058661828901,0.824048915116048,0.00542829820377105,1
"HCLS1",0.879483485174881,0.958635974686929,0.806866444739842,0.0034920090940884,1
"HCP5",0.902718508836288,0.975355992182843,0.835490541634822,0.00954479887776881,1
"HDAC8",0.85768283669821,0.94643871685731,0.777250375818676,0.00224573639957853,1
"HDHD1",0.875078721856958,0.950331481044863,0.805784912654763,0.00152280657359296,1
"HERC5",0.881151057193799,0.954732089345702,0.81324090208998,0.0019878637859211,1
"HERC6",0.898946317186689,0.972689148382982,0.830794177694817,0.0080886886085659,1
"HINFP",0.902084789032049,0.974768902048793,0.834820401935908,0.0091523509807108,1
"HINT2",0.81786603882172,0.901774671143677,0.741764965087777,5.46472407162067e-05,1
"HIPK1",0.898087888568721,0.970084956102439,0.831434247608982,0.00629729825253687,1
"HIST1H1C",0.891473748078139,0.97110570592806,0.818371716550658,0.00849799883901756,1
"HIST1H2BD",0.8884762870359,0.962987730267265,0.819730187430336,0.00400404552534292,1
"HIST1H2BE",0.865480775635659,0.940688786930919,0.79628564026873,0.000678494241662503,1
"HIST1H2BH",0.890089798595695,0.964665677664994,0.821279193307486,0.00456434611748137,1
"HIST1H2BJ",0.868438111919289,0.940814107670088,0.801629937397161,0.000552839873978407,1
"HIST1H2BK",0.874346088671011,0.951432676092305,0.80350517906758,0.00184037920292103,1
"HIVEP1",0.899766031297817,0.973993667703134,0.831195250977933,0.0090150309589905,1
"HLA-A",0.842765201930526,0.918539159116071,0.773242140562077,9.84793158443226e-05,1
"HLA-B",0.867213367786039,0.946728279382519,0.794376846709719,0.00145750528493663,1
"HLA-C",0.856921269161559,0.927551684551905,0.791669158464414,0.000132885164248436,1
"HLA-DMA",0.875946797768896,0.943868723933763,0.812912614927824,0.000508866873749189,1
"HLA-DMB",0.882240266230756,0.952359439791126,0.817283742711286,0.00132307741186559,1
"HLA-DPA1",0.858930710038936,0.925835733027074,0.79686054267514,7.08267810233165e-05,1
"HLA-DPB1",0.870916653450178,0.943851411460897,0.803617823787384,0.00075641249799639,1
"HLA-DPB2",0.829636615790347,0.927013245332263,0.742488759169087,0.000972346595388011,1
"HLA-DQB2",0.889378014836595,0.961725142607737,0.822473301602459,0.00330308623247531,1
"HLA-DRA",0.860661508165479,0.926581124620868,0.799431600703897,6.74563778452372e-05,1
"HLA-DRB1",0.878378573173978,0.947104424361748,0.814639756678466,0.000741045692188162,1
"HLA-E",0.831759467971593,0.903853721140329,0.765415682183133,1.40240254168506e-05,1
"HLA-F",0.843012100588468,0.911326362213476,0.779818768780562,1.74234855869475e-05,1
"HLA-G",0.885096745308314,0.950310794325642,0.824357939774096,0.000765245040050891,1
"HLA-J",0.850421000305169,0.933831083363445,0.774461131830381,0.000688679943193873,1
"HMGA1",0.885354837345322,0.958420360927293,0.817859490435247,0.00261555716344351,1
"HMGB3",0.877954551245737,0.959874615539845,0.803025917733634,0.00424009883419493,1
"HMGN3",0.887918575768103,0.96374849633981,0.818055125573004,0.00446800895282486,1
"HOXC9",0.863939531012338,0.962250222905418,0.775672995940873,0.00781906273235891,1
"HOXD1",0.881618144778851,0.957486802964157,0.811761113361684,0.00277708853650212,1
"HPRT1",0.863646932700505,0.943360226526464,0.790669357674118,0.00113625141300431,1
"HPSE",0.867816769918451,0.942484298487078,0.799064713715249,0.000761056326939808,1
"HRASLS2",0.865162300619794,0.944861150202913,0.792186033104431,0.00127540621091929,1
"HSD17B10",0.85954932946777,0.931135300123721,0.793466910437532,0.00020881790458731,1
"HSD3B7",0.847243429715652,0.945205556755108,0.759434203561629,0.00298357402014279,1
"HSF1",0.886114012902319,0.966040985345676,0.812799928546392,0.00606848736597297,1
"HSPB11",0.821605268191863,0.928021627348681,0.727391686602359,0.00156654908017077,2
"HSPE1",0.824976269191591,0.954449679854049,0.713066240258312,0.00968836128053113,1
"HTATIP2",0.865007446476782,0.937153454030469,0.798415541491411,0.000388132315608629,1
"HTT",0.873778106134985,0.952865011218896,0.801255340233549,0.0022723794076159,1
"ICAM3",0.867807220868287,0.940521096532087,0.800715024222157,0.000553088649875667,1
"ICOS",0.890225295492325,0.968456650729907,0.818313422843558,0.00681430867233884,1
"IDH2",0.854181484117007,0.931370286515399,0.783389827195511,0.000356025253430259,1
"IDO1",0.826069016935872,0.896744821109497,0.760963436507068,5.06815576831898e-06,1
"IFI16",0.89223200692093,0.965513421383785,0.824512571801646,0.00463452449693643,1
"IFI27",0.854064553564348,0.923438875996666,0.789902050493381,7.52962445379712e-05,1
